TEAM,PLAYER_ID,PLAYER_NAME
,1630701,Michael Foster Jr.
,1629008,Michael Porter Jr.
,1628969,Mikal Bridges
,201144,Mike Conley
,203488,Mike Muscala
,1630540,Miles McBride
,1629011,Mitchell Robinson
,1628964,Mo Bamba
,1626149,Montrezl Harrell
,1629021,Moritz Wagner
,1629650,Moses Brown
,1630541,Moses Moody
,1631217,Moussa Diabate
,1626167,Myles Turner
,1630230,Naji Marshall
,1629642,Nassir Little
,1630233,Nathan Knight
,1629675,Naz Reid
,1629674,Neemias Queta
,203457,Nerlens Noel
,1629651,Nic Claxton
,1630208,Nick Richards
,1629638,Nickeil Alexander-Walker
,203999,Nikola Jokic
,1631107,Nikola Jovic
,202696,Nikola Vucevic
,203943,Noah Vonleh
,1626181,Norman Powell
,1628384,O.G. Anunoby
,1630167,Obi Toppin
,1630534,Ochai Agbaji
,1630846,Olivier Sarr
,1630209,Omer Yurtseven
,1630168,Onyeka Okongwu
,1631115,Orlando Robinson
,1629052,Oshae Brissett
,203490,Otto Porter Jr.
,1631172,Ousmane Dieng
,200782,P.J. Tucker
,1629023,P.J. Washington
,1628408,PJ Dozier
,1631094,Paolo Banchero
,1627783,Pascal Siakam
,1626192,Pat Connaughton
,1631116,Patrick Baldwin Jr.
,1630172,Patrick Williams
,201988,Patty Mills
,1630194,Paul Reed
,1630202,Payton Pritchard
,1631212,Peyton Watson
,1630173,Precious Achiuwa
,1629656,Quentin Grimes
,1631245,Quenton Jackson
,1630181,R.J. Hampton
,1629628,RJ Barrett
,203526,Raul Neto
,203493,Reggie Bullock
,202704,Reggie Jackson
,1626158,Richaun Holmes
,201937,Ricky Rubio
,203496,Robert Covington
,1629057,Robert Williams III
,201577,Robin Lopez
,203585,Rodney McGruder
,1629641,Romeo Langford
,1631199,Ron Harper Jr.
,200752,Rudy Gay
,1629060,Rui Hachimura
,201566,Russell Westbrook
,1631157,Ryan Rollins
,1630240,Saben Lee
,1630180,Saddiq Bey
,1630573,Sam Hauser
,1630241,Sam Merrill
,1630572,Sandro Mamukelashvili
,1630583,Santi Aldama
,1630590,Scotty Pippen Jr.
,201586,Serge Ibaka
,203552,Seth Curry
,1631101,Shaedon Sharpe
,1628983,Shai Gilgeous-Alexander
,1629003,Shake Milton
,1631323,Simone Fontecchio
,203915,Spencer Dinwiddie
,1626169,Stanley Johnson
,1630649,Stanley Umude
,1628425,Sterling Brown
,203500,Steven Adams
,1629004,Svi Mykhailiuk
,204456,T.J. McConnell
,203933,T.J. Warren
,201959,Taj Gibson
,1629659,Talen Horton-Tucker
,1631106,Tari Eason
,1627752,Taurean Prince
,1629611,Terance Mann
,1629056,Terence Davis
,203082,Terrence Ross
,1626179,Terry Rozier
,1630678,Terry Taylor
,201152,Thaddeus Young
,203648,Thanasis Antetokounmpo
,1630177,Theo Maledon
,1629033,Theo Pinson
,1628418,Thomas Bryant
,1628396,Tony Bradley
,1628470,Torrey Craig
,1629027,Trae Young
,1630200,Tre Jones
,1630544,Tre Mann
,1630570,Trendon Watford
,1630235,Trent Forrest
,1630243,Trevelin Queen
,1631309,Trevor Hudgins
,1631211,Trevor Keels
,1626168,Trey Lyles
,1630530,Trey Murphy III
,1628972,Troy Brown Jr.
,1629660,Ty Jerome
,1631102,TyTy Washington Jr.
,1628416,Tyler Dorsey
,1630169,Tyrese Haliburton
,1631213,Tyrese Martin
,1630178,Tyrese Maxey
,1626145,Tyus Jones
,1628962,Udoka Azubuike
,2617,Udonis Haslem
,1630586,Usman Garuba
,1630176,Vernon Carey Jr.
,203506,Victor Oladipo
,1631246,Vince Williams Jr.
,1630249,Vit Krejci
,1628427,Vlatko Cancar
,1631117,Walker Kessler
,1628976,Wendell Carter Jr.
,1631111,Wendell Moore Jr.
,1629117,Wenyen Gabriel
,202083,Wesley Matthews
,203115,Will Barton
,1626195,Willy Hernangomez
,1641645,Xavier Cooks
,1630214,Xavier Tillman
,1629139,Yuta Watanabe
,203897,Zach LaVine
,1630192,Zeke Nnaji
,1630533,Ziaire Williams
,1629627,Zion Williamson
,1630565,Aaron Henry
,1627846,Abdel Nader
,1630278,Ade Murkey
,1629958,Ahmad Caver
,1630758,Aleem Ford
,1628035,Alfonzo McKinnie
,1629717,Armoni Brooks
,1629083,Arnoldas Kulboka
,202340,Avery Bradley
,1629168,BJ Johnson
,203463,Ben McLemore
,202954,Brad Wanamaker
,1629164,Brandon Goodwin
,202688,Brandon Knight
,1630314,Brandon Williams
,101139,CJ Miles
,1630787,Cameron McGriff
,1628419,Cameron Oliver
,2546,Carmelo Anthony
,1629035,Carsen Edwards
,1630199,Cassius Stanley
,1630216,Cassius Winston
,1627760,Cat Barber
,1628990,Chandler Hutchison
,1629718,Charlie Brown Jr.
,1630602,Chaundee Brown Jr.
,1627767,Cheick Diallo
,1629185,Chris Chiozza
,1628591,Craig Sword
,201571,D.J. Augustin
,1629610,DaQuan Jeffries
,1629751,Dakota Mathias
,1628422,Damyean Dotson
,1630187,Daniel Oturu
,201568,Danilo Gallinari
,201954,Darren Collison
,1628021,David Nwaba
,1627761,DeAndre' Bembry
,1630610,DeJon Jarreau
,202326,DeMarcus Cousins
,1629686,Deividas Sirvydis
,1627756,Denzel Valentine
,1628476,Derrick Walton Jr.
,1629962,Devin Cannady
,1629719,Devontae Cacok
,1629712,Didi Louzada
,2730,Dwight Howard
,202334,Ed Davis
,203901,Elfrid Payton
,1630190,Elijah Hughes
,1629150,Emanuel Terry
,1626144,Emmanuel Mudiay
,202683,Enes Freedom
,202339,Eric Bledsoe
,1629672,Eric Paschall
,1630624,Feron Hunt
,1630273,Freddie Gillespie
,1628221,Gabe York
,1630466,Gabriel Deck
,1630994,Gabriel Lundberg
,1629109,Gary Clark
,1628994,George King
,1630686,Georgios Kalaitzakis
,202328,Greg Monroe
,202355,Hassan Whiteside
,1629755,Hassani Gravett
,1629649,Ignas Brazdeikis
,1629067,Isaac Bonga
,202738,Isaiah Thomas
,1630605,JaQuori McLaughlin
,203953,Jabari Parker
,1630186,Jahmi'us Ramsey
,1630693,Jaime Echenique
,1627774,Jake Layman
,203516,James Ennis III
,1630691,Jamorko Pickett
,1629607,Jared Harper
,1629600,Jarron Cumberland
,1629602,Javin DeLaurier
,1630606,Javonte Smart
,1630206,Jay Scrubb
,1629658,Jaylen Hoard
,1628537,Jaylen Morris
,1629873,Jaysean Paige
,1629203,Jemerrio Jones
,2207,Joe Johnson
,1630555,Joel Ayayi
,1630257,Jon Teske
,1628395,Jordan Bell
,1628367,Josh Jackson
,1626147,Justin Anderson
,1629620,Justin Robinson
,1629752,Juwan Morgan
,1626208,Keifer Sykes
,1629103,Kelan Martin
,1629833,Keljin Blevins
,203145,Kent Bazemore
,1630698,Kevin Pangos
,1629681,Killian Tillie
,1629657,Kyle Guy
,204038,Langston Galloway
,1628366,Lonzo Ball
,101150,Lou Williams
,1629663,Louis King
,1630640,MJ Walker
,1630644,Mac McClung
,1630238,Malik Fitts
,1629005,Malik Newman
,1630585,Marcus Garrett
,1630210,Markus Howard
,1630222,Mason Jones
,1629760,Matt Mooney
,1629744,Matt Thomas
,203090,Maurice Harkless
,1628982,Melvin Frazier Jr.
,1628970,Miles Bridges
,1630589,Moses Wright
,1628539,Mychal Mulder
,1629619,Myles Powell
,1630207,Nate Hinton
,202357,Nemanja Bjelica
,203658,Norvel Pelle
,1628238,Paris Bass
,200794,Paul Millsap
,1628778,Paul Watson
,1627822,Petr Cornelie
,1630612,RJ Nembhard Jr.
,1629730,Rayjon Tucker
,1629617,Reggie Perry
,1630306,Rob Edwards
,203918,Rodney Hood
,1626155,Sam Dekker
,1630575,Scottie Lewis
,203816,Scotty Hopson
,1629635,Sekou Doumbouya
,1628400,Semi Ojeleye
,1629783,Shaq Buchanan
,1627885,Shaquille Harrison
,1630536,Sharife Cooper
,1630219,Skylar Mays
,203524,Solomon Hill
,1629605,Tacko Fall
,204025,Tim Frazier
,1627789,Timothe Luwawu-Cabarrot
,203107,Tomas Satoransky
,203503,Tony Snell
,1629309,Trayvon Palmer
,1629682,Tremont Waters
,1630286,Trevon Scott
,2772,Trevor Ariza
,203504,Trey Burke
,202684,Tristan Thompson
,1629076,Tyler Cook
,1629788,Tyler Hall
,204020,Tyler Johnson
,1630179,Tyrell Terry
,1627820,Tyrone Wallace
,201961,Wayne Ellington
,1627782,Wayne Selden
,1628411,Wes Iwundu
,1626161,Willie Cauley-Stein
,1629875,Xavier Moon
,1630270,Xavier Sneed
,1630582,Yves Pons
,1630285,Zavier Simpson
,1629597,Zylan Cheatham
,1629690,Adam Mokoka
,202329,Al-Farouq Aminu
,1629346,Alen Smailagic
,1628578,Amida Brimah
,2760,Anderson Varejao
,203460,Andre Roberson
,201229,Anthony Tolliver
,1628394,Anzejs Pasecniks
,203382,Aron Baynes
,1630204,Ashton Hagans
,1626253,Axel Toupane
,1628968,Brian Bowen II
,203998,Bruno Caboclo
,1629244,Cam Reynolds
,1626184,Chasson Randle
,1626245,Cristiano Felicio
,203957,Dante Exum
,203121,Darius Miller
,1629743,Donta Hall
,1628407,Dwayne Bacon
,202734,E'Twaun Moore
,1629091,Elijah Bryant
,101141,Ersan Ilyasova
,1628412,Frank Mason III
,203922,Glenn Robinson III
,1630203,Grant Riller
,1628385,Harry Giles III
,1627740,Henry Ellenson
,202697,Iman Shumpert
,200755,JJ Redick
,203960,JaKarr Sampson
,1630223,Jalen Harris
,203263,James Nunnally
,201162,Jared Dudley
,1629121,Jaylen Adams
,1629725,Jeremiah Martin
,1629010,Jerome Robinson
,1629648,Jordan Bone
,1629713,Justin James
,1628383,Justin Patton
,1630211,Karim Mane
,1629017,Khyri Thomas
,1628961,Kostas Antetokounmpo
,1629677,Luka Samanic
,201188,Marc Gasol
,1629716,Marques Bolden
,203487,Michael Carter-Williams
,1628455,Mike James
,203118,Mike Scott
,1630185,Nico Mannion
,1629740,Nicolo Melli
,202335,Patrick Patterson
,1626188,Quinn Cook
,1629034,Ray Spalding
,1629606,Robert Franks
,1626178,Rondae Hollis-Jefferson
,1630253,Sean McDermott
,1628414,Sindarius Thornwell
,1628388,T.J. Leaf
,1628390,Terrance Ferguson
,1627748,Thon Maker
,1630234,Ty-Shon Alexander
,1630189,Tyler Bey
,1629738,Vincent Poirier
,1630266,Will Magnay
,1627812,Yogi Ferrell
,203459,Allen Crabbe
,1629019,Allonzo Trier
,1628518,Amile Jefferson
,1627790,Ante Zizic
,1628499,Antonius Cleveland
,1628403,Caleb Swanigan
,202718,Chandler Parsons
,1629598,Chris Clemons
,201147,Corey Brewer
,201584,Courtney Lee
,1629133,Daryl Macon
,201960,DeMarre Carroll
,1628985,Devon Hall
,203079,Dion Waiters
,1628605,Dusty Hannahs
,1629058,Dzanan Musa
,1629059,Elie Okobo
,1628450,Eric Mika
,202323,Evan Turner
,101133,Ian Mahinmi
,1629122,J.P. Macura
,2747,JR Smith
,1628980,Jacob Evans
,2037,Jamal Crawford
,1627784,Jarrod Uthoff
,202951,Jeremy Pargo
,1626170,Jerian Grant
,201149,Joakim Noah
,1629147,Joe Chealey
,1628405,Johnathan Motley
,1629140,Johnathan Williams
,1628413,Jonah Bolden
,203895,Jordan McRae
,1627982,Josh Gray
,203705,Josh Magette
,1629729,Josh Reaves
,1629625,Justin Wright-Foreman
,1628987,Kevin Hervey
,1629734,Kyle Alexander
,2594,Kyle Korver
,203124,Kyle O'Quinn
,202498,Lance Thomas
,201601,Luc Mbah a Moute
,1626259,Malcolm Miller
,201158,Marco Belinelli
,1629621,Marial Shayok
,1629741,Marko Guduric
,1626187,Michael Frazier II
,203077,Michael Kidd-Gilchrist
,201583,Ryan Anderson
,203894,Shabazz Napier
,1629044,Shamorie Ponds
,1627746,Skal Labissiere
,1629742,Stanton Kidd
,1629745,Tariq Owens
,200757,Thabo Sefolosha
,1626203,Treveon Graham
,203584,Troy Daniels
,203092,Tyler Zeller
,2199,Tyson Chandler
,1629724,Vic Law
,1713,Vince Carter
,1629739,William Howard
,201163,Wilson Chandler
,1629668,Zach Norvell Jr.
,1629015,Zhaire Smith
,1626210,Alan Williams
,203518,Alex Abrines
,1627816,Alex Poythress
,101161,Amir Johnson
,201281,Andre Ingram
,101106,Andrew Bogut
,1626150,Andrew Harrison
,1629116,Angel Delgado
,1628469,Antonio Blakeney
,1628656,Billy Garrett
,1629045,Bonzie Colson
,1629102,Brandon Sampson
,203710,C.J. Williams
,101112,Channing Frye
,203474,DJ Stephens
,1629541,Dairis Bertans
,1627772,Daniel Hamilton
,201967,Dante Cunningham
,1629152,DeVaughn Akoon-Purcell
,1627743,Demetrius Jackson
,1629061,Deng Adel
,2734,Devin Harris
,1628421,Devin Robinson
,1627738,Deyonta Davis
,1717,Dirk Nowitzki
,202700,Donatas Motiejunas
,1629055,Donte Grantham
,2548,Dwyane Wade
,202327,Ekpe Udoh
,203961,Eric Moreland
,101123,Gerald Green
,1627824,Guerschon Yabusele
,203546,Ian Clark
,1628387,Ike Anigbogu
,1629353,Isaac Humphries
,1628515,Isaiah Briscoe
,203477,Isaiah Canaan
,1628439,Isaiah Hicks
,1628397,Ivan Rabb
,1627883,Jalen Jones
,1629123,Jared Terrell
,1626185,Jarell Martin
,1628417,Jaron Blossomgame
,201160,Jason Smith
,1628393,Jawun Evans
,202391,Jeremy Lin
,201573,Jerryd Bayless
,202690,Jimmer Fredette
,201975,Jodie Meeks
,204066,John Holland
,203098,John Jenkins
,202720,Jon Leuer
,201973,Jonas Jerebko
,203613,Jonathon Simmons
,1628070,Jordan Loyd
,1626296,Jordan Sibert
,101181,Jose Calderon
,1627395,Julian Washburn
,203564,Kalin Lucas
,202702,Kenneth Faried
,1628424,Kobi Simmons
,201585,Kosta Koufos
,203485,Lorenzo Brown
,2736,Luol Deng
,1627781,Malachi Richardson
,202705,MarShon Brooks
,101162,Marcin Gortat
,1629094,Marcus Derrickson
,201563,Michael Beasley
,203101,Miles Plumlee
,1628462,Milos Teodosic
,1628249,Mitchell Creek
,2403,Nene
,201156,Nick Young
,202703,Nikola Mirotic
,1627855,Okaro White
,201956,Omri Casspi
,2200,Pau Gasol
,203112,Quincy Acy
,202347,Quincy Pondexter
,1626154,RJ Hunter
,1628959,Rawle Alkins
,101109,Raymond Felton
,1627758,Ron Baker
,1626257,Salah Mejri
,203159,Scott Machado
,2733,Shaun Livingston
,202714,Shelvin Mack
,1628769,Tahjere McCall
,203093,Terrence Jones
,1629118,Thomas Welsh
,2225,Tony Parker
,1628979,Trevon Duval
,1628505,Troy Caupain
,1627786,Troy Williams
,1628463,Tyler Cavanaugh
,1629093,Tyler Davis
,1628399,Tyler Lydon
,1627755,Tyler Ulis
,201936,Tyreke Evans
,1629053,Vincent Edwards
,1627735,Wade Baldwin IV
,1627215,Walt Lemon Jr.
,202325,Wesley Johnson
,1628999,Yante Maten
,1629155,Zach Lofton
,2585,Zaza Pachulia
,1627753,Zhou Qi
,201166,Aaron Brooks
,1626151,Aaron Harrison
,1628935,Aaron Jackson
,203940,Adreian Payne
